"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Delete exercise","LMS service","Sun May 10 15:40:04 UTC 2026","passed","Sun May 10 15:40:04 UTC 2026","Delete Entity","Exercises","",""
"","549","Create user","LMS service","Sun May 10 15:40:08 UTC 2026","passed","Sun May 10 15:40:09 UTC 2026","Create Entity","Users","",""
"","69","Create file","LMS service","Sun May 10 15:40:05 UTC 2026","passed","Sun May 10 15:40:05 UTC 2026","Create Entity","Files","",""
"","23","Update exercise","LMS service","Sun May 10 15:40:03 UTC 2026","passed","Sun May 10 15:40:03 UTC 2026","Update Entity","Exercises","",""
"","18","Get exercises","LMS service","Sun May 10 15:40:05 UTC 2026","passed","Sun May 10 15:40:05 UTC 2026","Get Entities","Exercises","",""
"","27","Createe exercise","LMS service","Sun May 10 15:40:03 UTC 2026","passed","Sun May 10 15:40:03 UTC 2026","Create Entity","Exercises","",""
"","557","Login with correct email and password","LMS service","Sun May 10 15:40:00 UTC 2026","passed","Sun May 10 15:40:01 UTC 2026","Login","Authentication","",""
"","29","Create course","LMS service","Sun May 10 15:40:02 UTC 2026","passed","Sun May 10 15:40:02 UTC 2026","Create Entity","Courses","",""
"","15","Get user me","LMS service","Sun May 10 15:40:10 UTC 2026","passed","Sun May 10 15:40:10 UTC 2026","Get Entity","Users","",""
"","22","Create file with empty filename","LMS service","Sun May 10 15:40:07 UTC 2026","passed","Sun May 10 15:40:07 UTC 2026","Validate Entity","Files","",""
"","37","Update course","LMS service","Sun May 10 15:40:02 UTC 2026","passed","Sun May 10 15:40:02 UTC 2026","Update Entity","Courses","",""
"","32","Get courses","LMS service","Sun May 10 15:40:01 UTC 2026","passed","Sun May 10 15:40:01 UTC 2026","Get Entities","Courses","",""
"","561","Create user","LMS service","Sun May 10 15:40:09 UTC 2026","passed","Sun May 10 15:40:09 UTC 2026","Create Entity","Users","",""
"","269","Create file with empty directory","LMS service","Sun May 10 15:40:07 UTC 2026","passed","Sun May 10 15:40:08 UTC 2026","Validate Entity","Files","",""
"","290","Create user","LMS service","Sun May 10 15:40:09 UTC 2026","passed","Sun May 10 15:40:09 UTC 2026","Create Entity","Users","",""
"","296","Delete file","LMS service","Sun May 10 15:40:08 UTC 2026","passed","Sun May 10 15:40:08 UTC 2026","Delete Entity","Files","",""
"","268","Get file with incorrect file id","LMS service","Sun May 10 15:40:08 UTC 2026","passed","Sun May 10 15:40:09 UTC 2026","Validate Entity","Files","",""
"","49","Get exercise","LMS service","Sun May 10 15:40:04 UTC 2026","passed","Sun May 10 15:40:04 UTC 2026","Get Entity","Exercises","",""
"","14","Get file","LMS service","Sun May 10 15:40:07 UTC 2026","passed","Sun May 10 15:40:07 UTC 2026","Get Entity","Files","",""
